Code Anabel;BU;Code_DSR;BaseMag;Adresse_1;Adresse_2;Code_postal;Ville;Latitude;Longitude;A étudier;Dernière éligibilité;Commandé Adista;Numéro de Lot;Multi PTO;Code GPS Corrigé;Fiabilisation Code GPS;Fiabilisation code IMB;Code IMB;OI;Préconisation FTTH;FTTH Covage;FTTH Bytel;FTTH Orange;FTTH SFR;Préconisation FTTO;FTTO Eurofiber;FTTO Covage;FTTO IELO;FTTO SFR ZV;FTTO SFR Clink;FTTO Orange;FTTO Axione;Préconisation FTTO Burst;IELO Burst;Covage BPEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9478;HYPER;FR-AT00023;ATACADAO AULNAY;Rn 370   Cc Parinor;;93600;Aulnay-sous-Bois;48,9560348;2,4762261;OUI;19/03/2025;;Batch 3 - 50 Hyper;NC;48.9556922942147, 2.47676253318787;OK;Code Inexistant;NC;-;FTTO Burst Covage BPEA;NON;NON;NON;NON;FTTO Eurofiber E0;FTTO Eurofiber E0;FTTO Covage ZTD/ZD;FTTO IELO bulk;FTTO SFR ZV;FTTO SFR EA SELECT;FTTO ORANGE O1;NON;FTTO Burst Covage BPEA;NON;FTTO Burst Covage BPEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2145;PROMOCASH;FR-CC00001;[PROMOCASH] FR-CC00001 VARENNES LES MACON;#REF!;;#REF!;#REF!;#REF!;#REF!;OUI;05/12/2025;;2025-11 Lot2;?;46.26685294, 4.79704350;OK;Fiable;ID-71556000003Z;DSDH;FTTH Bytel;NON;FTTH Bytel;FTTH Orange;FTTH SFR;FTTO SFR EA SELECT;NON;NON;NON;FTTO SFR ZV;FTTO SFR EA SELECT;FTTO ORANGE O3;NON;NON Eligible;NON;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012;PROMOCASH;FR-CC00002;AUCH -ENGACHIES;2 Rue Henri Matisse;Au Petit Mouliot;32000;Auch;43.6572192;0.6128392000000531;OUI;23/03/2025;;2025 Lot1 - commandé;Possible (OI Orange);0;;;IMB/32013/X/075L;Orange;FTTH Covage;FTTH Covage;FTTH Bytel;FTTH Orange;FTTH SFR;FTTO Eurofiber E0;FTTO Eurofiber E0;FTTO Covage ZTD/ZD;NON;FTTO SFR ZV;FTTO SFR EA ONE;FTTO ORANGE O3;NON;NON Eligible;NON;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2102;PROMOCASH;FR-CC00003;[PROMOCASH] FR-CC00003 PERPIGNAN;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;OUI;05/12/2025;;2025-11 Lot2;NC;42.68939541, 2.85597932;A Confirmer;A Confirmer;NC;-;NON Eligible;NON;NON;NON;NON;FTTO Eurofiber E0;FTTO Eurofiber E0;FTTO Covage ZTD/ZD;NON;FTTO SFR ZV;FTTO SFR EA SELECT;FTTO ORANGE O2A;NON;NON Eligible;NON;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;PROMOCASH;FR-CC00004;VALENCIENNES;Rue Des Freres Lumiere;;59300;Aulnoy-lez-Valenciennes;47.6638291;-2.7271329999999807;OUI;23/03/2025;;2025 Lot1 - commandé;Possible (OI Orange);0;;;IMB/59032/X/01VD;Orange;FTTH Covage;FTTH Covage;FTTH Bytel;FTTH Orange;FTTH SFR;FTTO Eurofiber E0;FTTO Eurofiber E0;NON;NON;FTTO SFR ZV;FTTO SFR EA SELECT;FTTO ORANGE O2A;NON;FTTO Burst IELO Burst;FTTO Burst IELO Burst;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2037;PROMOCASH;FR-CC00006;[PROMOCASH] FR-CC00006 CREISSELS;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;OUI;05/12/2025;;2025-11 Lot2;Possible (OI Orange groupe);44.08581686, 3.05040086;OK;Fiable;IMB/12084/X/019O;Alliance Très Haut Débit;FTTH Bytel;NON;FTTH Bytel;FTTH Orange;FTTH SFR;FTTO ORANGE O3;NON;NON;NON;NON;NON;FTTO ORANGE O3;NON;NON Eligible;NON;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2117;PROMOCASH;FR-CC00007;[PROMOCASH] FR-CC00007 SALAISE SUR SANNE;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;OUI;05/12/2025;;2025-11 Lot2;NC;45.34386985, 4.80137950;A Confirmer;A Confirmer;NC;-;NON Eligible;NON;NON;NON;NON;FTTO SFR EA ONE;NON;NON;NON;FTTO SFR ZV;FTTO SFR EA ONE;FTTO ORANGE O3;NON;NON Eligible;NON;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2150;PROMOCASH;FR-CC00009;[PROMOCASH] FR-CC00009 ANNEMASSE;#REF!;;#REF!;#REF!;#REF!;#REF!;OUI;05/12/2025;;2025-11 Lot2;Possible (OI Orange);46.20633272, 6.28420443;A Confirmer;A Confirmer;IMB/74305/X/01LH;Orange;FTTH Covage;FTTH Covage;FTTH Bytel;FTTH Orange;FTTH SFR;FTTO Covage ZTD/ZD;NON;FTTO Covage ZTD/ZD;NON;FTTO SFR ZV;FTTO SFR EA SELECT;FTTO ORANGE O1;NON;FTTO Burst Covage BPEA;NON;FTTO Burst Covage BPEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2091;PROMOCASH;FR-CC00011;[PROMOCASH] FR-CC00011 MULHOUSE;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;OUI;05/12/2025;;2025-11 Lot2;Possible (OI Orange);47.74865022, 7.30150017;OK;Fiable;IMB/68224/C/0AI9;Orange;FTTH Covage;FTTH Covage;FTTH Bytel;FTTH Orange;FTTH SFR;FTTO Covage ZTD/ZD;NON;FTTO Covage ZTD/ZD;NON;FTTO SFR ZV;FTTO SFR EA SELECT;FTTO ORANGE O1;NON;FTTO Burst Covage BPEA;NON;FTTO Burst Covage BPEA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2000;PROMOCASH;FR-CC00012;[PROMOCASH] FR-CC00012 AGDE;#REF!;#REF!;#REF!;#REF!;#REF!;#REF!;OUI;05/12/2025;;2025-11 Lot2;Possible (OI SFR);43.31005101, 3.49911625;OK;Fiable;ID-340030000G7A;SFR FTTH;FTTH Bytel;NON;FTTH Bytel;FTTH Orange;FTTH SFR;FTTO ORANGE O2A;NON;NON;NON;NON;NON;FTTO ORANGE O2A;NON;NON Eligible;NON;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
